timestamp,views,es_halloween,semana_halloween,dias_para_halloween,views_lag7
2020-11-22,3717,0,0,0,5168.0
2020-11-23,3883,0,0,0,5149.0
2020-11-24,3926,0,0,0,4664.0
2020-11-25,3724,0,0,0,4547.0
2020-11-26,4839,0,0,0,4578.0
2020-11-27,4494,0,0,0,4099.0
2020-11-28,3295,0,0,0,3567.0
2020-11-29,3254,0,0,0,3717.0
2020-11-30,3772,0,0,0,3883.0
2020-12-01,3892,0,0,0,3926.0
2020-12-02,3274,0,0,0,3724.0
2020-12-03,3212,0,0,0,4839.0
2020-12-04,2672,0,0,0,4494.0
2020-12-05,2479,0,0,0,3295.0
2020-12-06,2726,0,0,0,3254.0
2020-12-07,3029,0,0,0,3772.0
2020-12-08,2787,0,0,0,3892.0
2020-12-09,2745,0,0,0,3274.0
2020-12-10,2690,0,0,0,3212.0
2020-12-11,2416,0,0,0,2672.0
2020-12-12,2356,0,0,0,2479.0
2020-12-13,2540,0,0,0,2726.0
2020-12-14,2763,0,0,0,3029.0
2020-12-15,2540,0,0,0,2787.0
2020-12-16,2534,0,0,0,2745.0
2020-12-17,2589,0,0,0,2690.0
2020-12-18,2357,0,0,0,2416.0
2020-12-19,2268,0,0,0,2356.0
2020-12-20,2255,0,0,0,2540.0
2020-12-21,2344,0,0,0,2763.0
2020-12-22,2245,0,0,0,2540.0
2020-12-23,2366,0,0,0,2534.0
2020-12-24,2939,0,0,0,2589.0
2020-12-25,3107,0,0,0,2357.0
2020-12-26,2274,0,0,0,2268.0
2020-12-27,2082,0,0,0,2255.0
2020-12-28,2077,0,0,0,2344.0
2020-12-29,1889,0,0,0,2245.0
2020-12-30,1935,0,0,0,2366.0
2020-12-31,4049,0,0,0,2939.0
2021-01-01,2349,0,0,303,3107.0
2021-01-02,1920,0,0,302,2274.0
2021-01-03,1929,0,0,301,2082.0
2021-01-04,1890,0,0,300,2077.0
2021-01-05,2078,0,0,299,1889.0
2021-01-06,1956,0,0,298,1935.0
2021-01-07,1748,0,0,297,4049.0
2021-01-08,1898,0,0,296,2349.0
2021-01-09,1660,0,0,295,1920.0
2021-01-10,1718,0,0,294,1929.0
2021-01-11,1866,0,0,293,1890.0
2021-01-12,1999,0,0,292,2078.0
2021-01-13,1952,0,0,291,1956.0
2021-01-14,1933,0,0,290,1748.0
2021-01-15,1842,0,0,289,1898.0
2021-01-16,1676,0,0,288,1660.0
2021-01-17,1829,0,0,287,1718.0
2021-01-18,1977,0,0,286,1866.0
2021-01-19,1925,0,0,285,1999.0
2021-01-20,1779,0,0,284,1952.0
2021-01-21,1883,0,0,283,1933.0
2021-01-22,1863,0,0,282,1842.0
2021-01-23,1652,0,0,281,1676.0
2021-01-24,1790,0,0,280,1829.0
2021-01-25,1888,0,0,279,1977.0
2021-01-26,1968,0,0,278,1925.0
2021-01-27,1830,0,0,277,1779.0
2021-01-28,1802,0,0,276,1883.0
2021-01-29,1632,0,0,275,1863.0
2021-01-30,1540,0,0,274,1652.0
2021-01-31,1676,0,0,273,1790.0
2021-02-01,1811,0,0,272,1888.0
2021-02-02,1807,0,0,271,1968.0
2021-02-03,1888,0,0,270,1830.0
2021-02-04,1972,0,0,269,1802.0
2021-02-05,1712,0,0,268,1632.0
2021-02-06,1660,0,0,267,1540.0
2021-02-07,1775,0,0,266,1676.0
2021-02-08,1829,0,0,265,1811.0
2021-02-09,2190,0,0,264,1807.0
2021-02-10,1912,0,0,263,1888.0
2021-02-11,2188,0,0,262,1972.0
2021-02-12,2162,0,0,261,1712.0
2021-02-13,2265,0,0,260,1660.0
